,,"501st Legion, 1st Regiment, 3rd Battalion",,,,,,,,,,,,,,
Designation,Birth #,Nickname,Rank,Unit,Role,TiG,TiS,LastPromotion,Start of Service,Recruiter,Status / Initial,UTC,Month Activity,Notes,,
CR,80127,Arwynn,Cadet,Zeta 3-2,Trooper,691 DAY(S),691 DAY(S),20190630,20190630,Dusty,,TBD,,Returning Member approved by CW-S Kyrie,,
Zeta 3-3,,,,,,,,,,,,,,,,
CT,88253,Charl,Trooper,Zeta 3-3,Squad Leader,23 DAY(S),255 DAY(S),20210428,20200908,Genesis/Walsh,Class 11/ Cycle 4,Alpha96,,Retuning Member approved by CW-S Kyrie,,
CR-C,63157,Demon,Cadet,Zeta 3-3,Trooper,8 DAY(S),8 DAY(S),20210513,20210513,Bridger ,-,Alpha111,,Cannot Login to Website,,
CR-C,21310,Goose,Cadet,Zeta 3-3,Trooper,85 DAY(S),89 DAY(S),20210225,20210221,Sparticus,Class 47/ Cycle 4,Bravo106,,,,
CR-C,21431,Stuka,Cadet,Zeta 3-3,Trooper,762 DAY(S),1076 DAY(S),20190420,20180610,-,Class 40,Alpha111,,,,
CR-C,29987,Nightstalker,Cadet,Zeta 3-3,Trooper,8 DAY(S),9 DAY(S),20210513,20210512,Bridger ,,Alpha111,,Returning Member approved by CC Andromeda,,Still Downloading Mods
CR-C,,TBD,Cadet,Zeta 3-3,Trooper,N/A DAY(S),N/A DAY(S),,,,,,,,,
CR-C,,TBD,Cadet,Zeta 3-3,Trooper,N/A DAY(S),N/A DAY(S),,,,,,,,,
CR-C,99801,Eki,Cadet,Zeta 3-3,Trooper,106 DAY(S),148 DAY(S),20210204,20201224,Bridger,Class 42/Cycle 4,TBD,,Returning Member Approved by CS-M Jan,,
CR-C,13334,Cloud,Cadet,Zeta 3-2,Trooper,12 DAY(S),13 DAY(S),20210509,20210508,Drammon/Bridger,Private 171,Alpha111,,,,
CR-C,23252,Jimothy,Cadet,Zeta 3-3,Trooper,121 DAY(S),335 DAY(S),20210120,20200620,Drammon,Class 80/ Cycle 3,Charlie93,,,,
CR-C,,TBD,Cadet,Zeta 3-3,Trooper,N/A DAY(S),N/A DAY(S),,,,,,,,,
Zeta 3-4,,,,,,,,,,,,,,,,
CW-S,27723,Ripjaw ,Chief Warrant Officer Three,Zeta 3-4,Squad Leader,296 DAY(S),964 DAY(S),  20200729,  20180930,Alex,Private 10,Private,,,,
CR-C,59696,Roxas,Cadet,Zeta 3-4,Trooper,36 DAY(S),36 DAY(S),20210415,20210415,Ethan,Class 59/Cycle 4,Alpha109,,,,
CR-C,21774,Elf,Cadet,Zeta 3-4,Trooper,36 DAY(S),37 DAY(S),20210415,20210414,Sparticus/Ethan,Private 167,Charlie109,,,,
CR-C,75637,Broken,Cadet,Zeta 3-4,Trooper,33 DAY(S),36 DAY(S),20210418,20210415,Buggs,Private,TBD,,,,
CR-C,82809,Arctic,Cadet,Zeta 3-4,Trooper,29 DAY(S),32 DAY(S),20210422,20210419,Law,Class 59/ Cycle 4,TBD,,,,
CR-C,19964,Jewel,Cadet,Zeta 3-4,Trooper,26 DAY(S),33 DAY(S),20210425,20210418,Genesis,Private 169,TBD,,,,
CR-C,15089,Ghost,Cadet,Zeta 3-4,Trooper,17 DAY(S),17 DAY(S),20210504,20210504,Daunte,Class 61/ Cycle 4,TBD,,,,
CR-C,88454,Roads,Cadet,Zeta 3-4,Trooper,28 DAY(S),28 DAY(S),20210423,20210423,Kaj,Class 61/ Cycle 4,TBD,,,,
CR-C,,TBD,Cadet,Zeta 3-4,Trooper,N/A DAY(S),N/A DAY(S),,,,,,,,,
CR-C,,TBD,Cadet,Zeta 3-4,Trooper,N/A DAY(S),N/A DAY(S),,,,,,,,,
CR-C,,TBD,Cadet,Zeta 3-4,Trooper,N/A DAY(S),N/A DAY(S),,,,,,,,,
Temporary Assignment Pool,,,,,,,,,,,,,,,,
CR-C,41100,Fabian,Cadet,Zeta 3-3,Trooper,121 DAY(S),284 DAY(S),20210120,20200810,Brandon,Class 5/ Cycle 4,TBD,,,,
CR-C,19400,Dima,Cadet,Zeta 3-3,Trooper,50 DAY(S),54 DAY(S),20210401,20210328,Brandon,Class 57/Cycle 4,Alpha108,,,,
CR-C,11423,Cannibal,Cadet,Zeta 3-3,Trooper,35 DAY(S),35 DAY(S),20210416,20210416,Sparticus/Ethan,Private,TBD,,Prohibition (14),,
Zeta Applicant Pool,,,,,Preferred MOS,,,,,,Status,,Applicant For,,,
CR-C,35419,Duty,Cadet,Zeta Applicant,Trooper,73 DAY(S),1230 DAY(S),20210309,  20180107,Canik,Cycle 1,Domino3,,Returning member Formerly known as Brad. Approved by CC Crisis,,
