,Birth #,Nickname,Rank,Unit,Role,TiG,TiS,LastPromotion,Start of Service,Recruiter,Status / Initial,UTC,Notes,,,,,,
CR-C,59131,Falcon,Cadet,Inactive Reserves,Trooper,109 DAY(S),324 DAY(S),20210204,20200704,Sparticus,Class 42/Cycle 4,Alpha104,Moved to Inactives 04/12/2021,Discharge - AWOL,Did not finish UTC,Returning Member Approved by CC Crisis ,,,
CR-C,21268,Tanto,Cadet,Inactive Reserves,Trooper,90 DAY(S),90 DAY(S),20210223,20210223,Snorri,Class 46/Cycle 4,Alpha106,Moved to Inactives 04/12/2021,Discharge - AWOL,Did not finish UTC,,,,
CR-C,23191,Backup,Cadet,Inactive Reserves,Trooper,124 DAY(S),135 DAY(S),20210120,20210109,Bridger,Class 35/ Cycle 4,Alpha103,Moved to Inactives 04/12/2021,Discharge - AWOL,Did not finish UTC,Returning Member 12/10/2020,,,
CR-C,13275,Kost,Cadet,Inactive Reserves,Trooper,71 DAY(S),71 DAY(S),20210314,20210314,Ethan,Class 52/Cycle 4,Bravo108,Moved to Inactives 04/12/2021,Discharge - AWOL,Did not finish UTC,,,,
CR-C,47670,Connor,Cadet,Inactive Reserves,Trooper,62 DAY(S),971 DAY(S),20210323,20180926,Brandon,Class 78,Foxtrot37,Returning Member Approved by CC Crisis,Moved to Inactives 04/15/2021,Left Discord,,,,
CR-C,27202,Antle,Cadet,Inactive Reserves,Trooper,109 DAY(S),111 DAY(S),20210204,20210202,Bit,Class 42/Cycle 4,Alpha104,Moved to Inactive 4/26/2021,Discharge - AWOL,,,,,
CR-C,40904,Ferret,Cadet,Inactive Reserves,Trooper,119 DAY(S),119 DAY(S),20210125,20210125, Daunte,Private 161,TBD,Returning Member Approved by CC Player,Moved to Inactives 04/27/2021,Did not start UTC,,,,
CR-C,68102,Nook,Cadet,Inactive Reserves,Trooper,97 DAY(S),102 DAY(S),20210216,20210211,Cyber/Dusty,Class 44/Cycle 4,TBD,Moved to Inactive 4/28/2021 Returning Member Approved by CC Player,Discharge - AWOL,,,,,
CR-C,10508,Warren,Cadet,Inactive Reserves,Trooper,97 DAY(S),97 DAY(S),20210216,20210216,Law,Class 44/Cycle 4,Alpha105,Moved to Inactive 4/28/2021,Discharge - AWOL,,,,,
CR-C,23140,Clumsy,Cadet,Inactive Reserves,Trooper,39 DAY(S),39 DAY(S),20210415,20210415,Ethan,Class 59/Cycle 4,TBD,Moved to Inactive 4/28/2021,Discharge - AWOL,,,,,
CR-C,61429,Peak,Cadet,Inactive Reserves,Trooper,67 DAY(S),71 DAY(S),20210318,20210314,Daunte,Class 53/Cycle 4,Bravo107,Moved to Inactive 4/28/2021,Discharge - AWOL,,,,,
CR-C,25221,Cutter,Cadet,Inactive Reserves,Trooper,38 DAY(S),893 DAY(S),  20210416,  20181213,Klown,Class 91,Charlie49,Moved to Inactives 05/05/2021,Left unit,,,,,
CR-C,18669,Rommel,Cadet,Inactive Reserves,Trooper,124 DAY(S),767 DAY(S),20210120,  20190418,Eli,Class 1/Cycle 3,Alpha103,Moved to Inactives 05/06/2021,,,,,,
CR-C,13969,Boomer,Cadet,Inactive Reserves,Trooper,95 DAY(S),97 DAY(S),20210218,20210216,Bridger,Class 45/Cycle 4,Alpha105,Returning Member Approved by CC Player,Moved to Inactives 05/06/2021,,,,,
CR-C,45691,Johnny,Cadet,Inactive Reserves,Trooper,76 DAY(S),79 DAY(S),20210309,20210306,Charl/Daunte,Class 50/Cycle 4,TBD,Moved to Inactives 05/09/2021,,,,,,
CR-C,12041,Dubbington,Cadet,Inactive Reserves,Trooper,124 DAY(S),295 DAY(S),20210120,20200802,Snorri/Walsh,Class 1/ Cycle 4,Charlie104,Name Changed from Dubby approved by CC Player  Moved to Inactives 05/09/2021,,,,,,
CR-C,18246,Alcatraz,Cadet,Inactive Reserves,Trooper,41 DAY(S),43 DAY(S),20210413,20210411,Ethan,Class58/Cycle 4,Bravo109,Moved to Inactive 5/11/2021,,,,,,
CR-C,10422,Rails,Cadet,Inactive Reserves,Trooper,343 DAY(S),377 DAY(S),20200615,20200512,Weaver,Class 66/ Cycle 3,Alpha87,Former 212th Member approved by Scuba,,,,,,
CR-C,71179,Krios,Cadet,Inactive Reserves,Trooper,429 DAY(S),505 DAY(S),20200321,20200105,Ethan,Class 33/ Cycle 3,Alpha78,Returning Member approved by CW-S Kyrie,,,,,,
CR-C,25221,Cutter,Cadet,Inactive Reserves,Trooper,38 DAY(S),893 DAY(S),  20210416,  20181213,Klown,Class 91,Charlie49,Non Garc Transfer,Moved to Inactive 5/17/2021,,,,,
CR-C,17189,Scavenger,Cadet,Inactive Reserves,Trooper,5 DAY(S),4 DAY(S),  20210519,  20210520,Ethan,Class 29/ Cycle 3,Alpha78,,,,,,,
UTC Roster List,,,,,,,,,,,,,,,,,,,
UTC Graduation (12/7/2020),,,,,,,,,,,,,,,,,,,
CR-C,11395,Morris,Cadet,Inactive Reserves,Support,168 DAY(S),204 DAY(S),20201207,20201101,Brandon,Class 25/ Cycle 4,Alpha100,Returning member approved by CC Lava,,,,,,
Active UTC Cadets,,,,,,,,,,,,,,,,,,,
CR-C,10907,Xeno,Cadet,Training,Trooper,124 DAY(S),152 DAY(S),20210120,20201223,Aspect,Private 153,Foxtrot102,Website Issues,,,,,,
Did not Graduate UTC,,,,,,,,,,,,,,,,,,,
CR-C,62987,Fearless,Cadet,Training,Support,124 DAY(S),138 DAY(S),20210120,20210106,Hantar,Class 34/ Cycle 4,Foxtrot102,,,,,,,
CR-C,13265,Madius,Cadet,Training,Support,124 DAY(S),147 DAY(S),20210120,20201228,Hantar,Private 154,Charlie102,,,,,,,
CR-C,20099,Thaw,Cadet,Training,Trooper,124 DAY(S),143 DAY(S),20210120,20210101,Bridger,Class 33/ Cycle 4,Bravo102,,,,,,,
CR-C,88620,Blue,Cadet,Training,Trooper,124 DAY(S),172 DAY(S),20210120,20201203,Weiss,Private 151,Alpha101,,,,,,,
CR-C,40619,Titan,Cadet,Training,Medic,124 DAY(S),250 DAY(S),20210120,20200916,Genesis,Class 13/ Cycle 4,Alpha96,,,,,,,
CR-C,59253,Ryan,Cadet,Training,Trooper,479 DAY(S),839 DAY(S),20200131,  20190205,Kaj,Class 97,Bravo78,,,,,,,
CR-C,23581,Fayvin,Cadet,Training,Medic,479 DAY(S),505 DAY(S),20200131,20200105,Rayne,Class 32/ Cycle 3,Charlie78,,,,,,,
CR-C,63633,Drogo,Cadet,Training,Trooper,479 DAY(S),505 DAY(S),20200131,20200105,Weiss,Class 32/ Cycle 3,Delta78,,,,,,,
CR-C,10667,Grondus,Cadet,Training,Support,124 DAY(S),319 DAY(S),20210120,20200709,Bridger,Class 84/ Cycle 3,Alpha92,Returning member approved by CX Scuba,,,,,,
CR-C,77425,Hartman,Cadet,Training,RTO,124 DAY(S),308 DAY(S),20210120,20200720,Weiss,Private 141,Alpha92,,,,,,,
CR-C,58172,Vodka,Cadet,Training,Grenadier,124 DAY(S),319 DAY(S),20210120,20200709,Bridger,Class 83/ Cycle 3,Alpha92,,,,,,,
CR-C,99099,Othelos,Cadet,Training,Trooper,124 DAY(S),305 DAY(S),20210120,20200723,Weiss/Genesis,Class 87/ Cycle 3,Bravo93,"Could not sign into website after changing steam name, Redirected to steam main page",,,,,,
CR-C,14560,Lemons,Cadet,Training,Medic,124 DAY(S),312 DAY(S),20210120,20200716,Sparticus,Class 88/ Cycle 3,Charlie93,,,,,,,
CR-C,10734,Butterz,Cadet,Training,Grenadier,124 DAY(S),295 DAY(S),20210120,20200802,Genesis/Aspect,Class 1/ Cycle 4,Delta93,Returning Member Approved by CC Player,,,,,,
CR-C,11951,Jordan,Cadet,Training,Trooper,124 DAY(S),538 DAY(S),20210120,20191203,Ethan,Private 85,Alpha94,Listed as CR Jordan1 on Website,,,,,,
CR-C,72929,Whiplash,Cadet,Training,Medic,124 DAY(S),280 DAY(S),20210120,44060,Weaver,Class 5/ Cycle 4,Alpha94,,,,,,,
CR-C,48732,Stealth,Cadet,Training,Trooper,124 DAY(S),282 DAY(S),20210120,20200815,Habas,Private 144,Bravo84,,,,,,,
CR-C,11239,Ones,Cadet,Training,Marksman,124 DAY(S),284 DAY(S),20210120,20200813,Reck,Class 4/ Cycle 4,Bravo84,,,,,,,
CR-C,43857,Tyr,Cadet,Training,Support,124 DAY(S),284 DAY(S),20210120,44056,Fenrir,Class 5/ Cycle 4,Charlier94,,,,,,,
CR-C,91301,Rhine,Cadet,Training,RTO,124 DAY(S),588 DAY(S),20210120,20191014,Frost,Class 17/ Cycle 3,Alpha95,Lava Approved Returning Member Left unit: 29/11/2019 Returning: 29/08/2020 Changed name to CR Blank,,,,,,
CR-C,86289,Phresh,Cadet,Training,Grenadier,124 DAY(S),275 DAY(S),20210120,20200822,Hantar,Class 8/ Cycle 4,Charlie95,,,,,,,
CR-C,73001,Mac,Cadet,Training,Trooper,124 DAY(S),275 DAY(S),20210120,20200822,Hantar,Class 6/ Cycle 4,Charlie95,212th Transfer approved by CW-M Broad,,,,,,
CR-C,31725,Chaotic,Cadet,Training,Marksman,124 DAY(S),266 DAY(S),20210120,20200831,Hantar,Class 9/ Cycle 4,Charlie95,"Former member of the 212th, approved by CS-M Jan",,,,,,
CR-C,77533,Falafel,Cadet,Training,Marksman,124 DAY(S),250 DAY(S),20210120,20200916,Genesis,Class 13/ Cycle 4,Alpha96,,,,,,,
CR-C,16579,Paper,Cadet,Training,Grenadier,124 DAY(S),274 DAY(S),20210120,20200823,Ethan/Hantar,Class 7/ Cycle 4,Bravo96,,,,,,,
CR-C,51331,Herman,Cadet,Training,Trooper,124 DAY(S),251 DAY(S),20210120,20200915,Hantar,Class 13/ Cycle 4,Charlie96,,,,,,,
CR-C,29954,Falcon,Cadet,Training,Assault,124 DAY(S),258 DAY(S),20210120,20200908,Aspect,Class 13/ Cycle 4,Charlie96,Needs Name Change,,,,,,
CR-C,95382,Distortion,Cadet,Training,Marksmen,124 DAY(S),237 DAY(S),20210120,09/29/2020,Cyber,Class 17/ Cycle 4,Bravo97,,,,,,,
CR-C,78255,Telshi,Cadet,Training,Trooper,124 DAY(S),239 DAY(S),20210120,20200927,Ethan/Shadow,Class 16/ Cycle 4,Bravo97,,,,,,,
CR-C,76459,Tzar,Cadet,Training,RTO,124 DAY(S),240 DAY(S),20210120,20200926,Sparticus,Class 16/ Cycle 4,Bravo97,,,,,,,
CR-C,13137,Cunningham,Cadet,Training,RTO,124 DAY(S),281 DAY(S),20210120,20200816,Fluorite,Class 5/ Cycle 4,Bravo97,,,,,,,
CR-C,27529,David,Cadet,Training,Trooper,124 DAY(S),224 DAY(S),20210120,20201012,Singed,Class 19/ Cycle 4,Alpha98,Probation: 14,,,,,,
CR-C,38910,Lego,Cadet,Training,Trooper,124 DAY(S),239 DAY(S),20210120,20200927,Ethan,Class 17/ Cycle 4,Alpha98,,,,,,,
CR-C,30105,Aussie,Cadet,Training,Support,124 DAY(S),416 DAY(S),20210120,20200403,Weiss,Private 121,Alpha98,Probation: 14,,,,,,
CR-C,11070,Vexer,Cadet,Training,Support,124 DAY(S),207 DAY(S),20210120,20201029,Habas,Class 11/ Cycle 3,Bravo99,Returning Member approved by CC Crisis,,,,,,
CR-C,22140,Gobbo,Cadet,Training,Medic,124 DAY(S),212 DAY(S),20210120,20201024,Wag,Class 24/ Cycle 4,Bravo99,,,,,,,
CR-C,48612,London,Cadet,Training,Trooper,124 DAY(S),710 DAY(S),20210120,20190614,Walsh/Spark,Class 134,Bravo99,Returning member approved by CW-M Broad,,,,,,
CR-C,59072,Dayton,Cadet,Training,RTO,124 DAY(S),210 DAY(S),20210120,20201026,Ethan,Class 24/ Cycle 4,Bravo99,Probation: 14,,,,,,
CR-C,15037,Gabriel,Cadet,Training,Trooper,124 DAY(S),216 DAY(S),20210120,20201020,Ethan,Class 22/ Cycle 4,Bravo100,Probation: 14,,,,,,
CR-C,21894,Gael,Cadet,Training,Support,124 DAY(S),196 DAY(S),20210120,20201109,Fenrir,Class 27/ Cycle 4,Charlie100,Charl 1st Sit In,,,,,,
CR-C,4147,Rax,Cadet,Reserves,Trooper,70 DAY(S),70 DAY(S),20210315,20210315,Cougar,-,-,Returning member approved by CC Crisis,,,,,,
CR-C,22091,Gruber,Cadet,Zeta 3-3,Trooper,116 DAY(S),118 DAY(S),20210128,20210126,Law,Class 39 ,Alpha104,Moved to inactive 5/10/21,,,,,,
CR-C,27034,Driver,Cadet,Zeta 3-3,Trooper,97 DAY(S),98 DAY(S),20210216,20210215,Snorri,Class 44/Cycle 4,Charlie105,Moved to inactive 5/10/21,,,,,,
CR-C,52867,Taiyou,Cadet,Zeta 3-3,Trooper,83 DAY(S),85 DAY(S),20210302,20210228,Ethan,Class 48/ Cycle 4,Alpha106,Moved to inactive 5/10/21,,Probation:,Non Garc Transfer,,,
CR-C,57352,Sig,Cadet,Zeta 3-3,Trooper,109 DAY(S),109 DAY(S),20210204,20210204,Sparticus/Ethan,Class 42/Cycle 4,Bravo104,Moved to inactive 5/10/21,,,,,,
BCT Roster List,,,,,,,,,,,,,,,,,,,
"CR Initial Training Class, Date Stamp: (5/06/2021) Class #64 Cycle 4",,,,,,,,,,,,,,,,,,,
CR,24042,Hunt,Recruit,Training,Medic,4 DAY(S),4 DAY(S),20210520,20210520,Atom,Class 64/ Cycle 4,,,,,,,,
CR,17469,Caz,Recruit,Training,Trooper,4 DAY(S),4 DAY(S),20210520,20210520,Ethan,Class 64/ Cycle 4,,,,,,,,
CR,11252,Wick,Recruit,Training,Marksman,6 DAY(S),6 DAY(S),20210518,20210518,Ethan,Class 64/ Cycle 4,,,,,,,,
CR,28537,Hodge,Recruit,Training,RTO,11 DAY(S),11 DAY(S),20210513,20210513,Atom,Class 64/ Cycle 4,,Atom 3rd step supervised by Ethan,,,,,,
CR,18055,Jumped,Recruit,Training,Medic,24 DAY(S),24 DAY(S),20210430,20210430,Brandon,Class 64/ Cycle 4,,,,,,,,
"CR Initial Training Class, Date Stamp: (2/16/2021) Class #63 Cycle 4",,,,,,,,,,,,,,,,,,,
CR,50723,Alphonse,Recruit,Training,Assault,7 DAY(S),7 DAY(S),20210517,20210517,Ethan,Class 63/ Cycle 4,,,,,,,,
CR,65165,Dets,Recruit,Training,Trooper,14 DAY(S),14 DAY(S),20210510,20210510,Kaj,Class 63/ Cycle 4,,Returning Member approved by CX-S Kaj,,,,,,
CR,29892,Hugs,Recruit,Training,Trooper,17 DAY(S),1080 DAY(S),20210507,  20180609,Verax,Class 63/ Cycle 4,,Returning Member approved by CW-S Kyrie,,,,,,
CR,19056,Rinzler,Recruit,Training,Medic,7 DAY(S),7 DAY(S),20210517,20210517,Atom,Class 63/ Cycle 4,,,,,,,,
"CR Initial Training Class, Date Stamp: (2/16/2021) Class #44 Cycle 4",,,,,,,,,,,,,,,,,,,
CR-C,83519,Gojo,Cadet,Training,Medic,97 DAY(S),98 DAY(S),20210216,20210215,Snorri,Class 44/ Cycle 4,,,,,,,,
"CR Initial Training Class, Date Stamp: (2/02/2021) Class #41 Cycle 4",,,,,,,,,,,,,,,,,,,
CR-C,43120,Avalon,Cadet,Training,Support,112 DAY(S),112 DAY(S),20210201,20210201,Wag,Class 41/ Cycle 4,,,,,,,,
"CR Initial Training Class, Date Stamp: (1/14/2021) Class #36 Cycle 4",,,,,,,,,,,,,,,,,,,
CR-C,19493,Derri,Cadet,Training,Medic,124 DAY(S),152 DAY(S),20210120,20201223,Hantar,Class 36/ Cycle 4,,"91st Transfer, Approved by CS-M Odin",,,,,,
CR-C,50511,Dubzie,Cadet,Training,Marksman,124 DAY(S),139 DAY(S),20210120,20210105,Charl,Class 36/ Cycle 4,,Can't Login into website,,,,,,
"CR Initial Training Class, Date Stamp: (1/13/2021) Class #35 Cycle 4",,,,,,,,,,,,,,,,,,,
CR-C,57158,Apollo,Cadet,Training,Trooper,124 DAY(S),133 DAY(S),20210120,20210111,Ethan,Class 35/ Cycle 4,,Returning Member Approved by CS-M Jan,,,,,,
CR-C,42829,Sharp,Cadet,Training,Assault,124 DAY(S),136 DAY(S),20210120,20210108,Wag,Class 35/ Cycle 4,,,,,,,,
Cha,,,,,,,,,,,,,,,,,,,
CR-C,95967,Chillz,Cadet,Training,Trooper,124 DAY(S),150 DAY(S),20210120,20201225,Charl,Class 33/ Cycle 4,,,,,,,,
"CR Initial Training Class, Date Stamp: (12/15/2020) Class #32 Cycle 4",,,,,,,,,,,,,,,,,,,
CR-C,12507,Cross,Cadet,Training,Medic,124 DAY(S),158 DAY(S),20210120,20201217,Hantar,Class 32/ Cycle 4,,,,,,,,
"CR Initial Training Class, Date Stamp: (12/15/2020) Class #31 Cycle 4",,,,,,,,,,,,,,,,,,,
CR-C,31104,Shaon,Cadet,Training,Medic,124 DAY(S),160 DAY(S),20210120,20201215,Vakarian,Class 31/ Cycle 4,,,,,,,,
CR-C,30099,Koala,Cadet,Training,Marksman,124 DAY(S),160 DAY(S),20210120,20201215,Ethan/Snorri,Class 31/ Cycle 4,,Can't Login into website,,,,,,
CR-C,13370,Rhode,Cadet,Training,Medic,124 DAY(S),160 DAY(S),20210120,20201215,Ethan/Snorri,Class 31/ Cycle 4,,,,,,,,
CR-C,28590,Lethal,Cadet,Training,Assault,124 DAY(S),160 DAY(S),20210120,20201215,Ethan,Class 31/ Cycle 4,,,,,,,,
"CR Initial Training Class, Date Stamp: (12/10/2020) Class #30 Cycle 4",,,,,,,,,,,,,,,,,,,
CR-C,42159,Conway,Cadet,Training,Assault,124 DAY(S),169 DAY(S),20210120,20201206,Snorri,Class 30/ Cycle 4,,,,,,,,
"CR Initial Training Class, Date Stamp: (11/26/2020) Class #29 Cycle 4",,,,,,,,,,,,,,,,,,,
CR-C,49317,Mentos,Cadet,Training,Marksman,124 DAY(S),185 DAY(S),20210120,20201120,Cyber,Class 29/ Cycle 4,,212th Transfer approved by CS-M Jan,,,,,,
"CR Initial Training Class, Date Stamp: (11/10/2020) Class #27 Cycle 4",,,,,,,,,,,,,,,,,,,
CR-C,13939,Midas,Cadet,Training,Trooper,124 DAY(S),196 DAY(S),20210120,20201109,Super,Class 27/ Cycle 4,,,,,,,,
"CR Initial Training Class, Date Stamp: (11/5/2020) Class #26 Cycle 4",,,,,,,,,,,,,,,,,,,
CR-C,35412,Siege,Cadet,Training,RTO,124 DAY(S),200 DAY(S),20210120,20201105,Ethan,Class 26/ Cycle 4,,,,,,,,
"CR Initial Training Class, Date Stamp: (10/27/2020) Class #23 Cycle 4",,,,,,,,,,,,,,,,,,,
CR-C,75674,Blur,Cadet,Training,Marksman,124 DAY(S),210 DAY(S),20210120,20201026,Ethan,Class 23/ Cycle 4,,Probation: 14,,,,,,
CR-C,82828,Torim,Cadet,Training,Trooper,124 DAY(S),214 DAY(S),20210120,20201022,Fluorite,Class 23/ Cycle 4,,Returning member approved by CS-M Jan,,,,,,
"CR Initial Training Class, Date Stamp: (10/22/2020) Class #22 Cycle 4",,,,,,,,,,,,,,,,,,,
CR-C,32801,Tydus,Cadet,Training,Trooper,124 DAY(S),216 DAY(S),20210120,20201020,Weaver,Class 22/ Cycle 4,,,,,,,,
CR-C,49330,Seffye,Cadet,Training,Medic,124 DAY(S),215 DAY(S),20210120,20201021,Fluorite,Class 22/ Cycle 4,,,,,,,,
CR-C,27435,Yukov,Cadet,Training,Trooper,124 DAY(S),214 DAY(S),20210120,20201022,Fluorite,Class 22/ Cycle 4,,Returning member approved by CS-M Jan,,,,,,
"CR Initial Training Class, Date Stamp: (10/20/2020) Class #21 Cycle 4",,,,,,,,,,,,,,,,,,,
CR-C,93500,Setanta,Cadet,Training,Trooper,124 DAY(S),216 DAY(S),20210120,20201020,Walsh,Class 21/ Cycle 4,,Name Changed from Cúchulainn to Setanta approved by CP Courtney on 10/21/2020,,,,,,
CR-C,19114,Temmpo,Cadet,Training,Trooper,124 DAY(S),217 DAY(S),20210120,20201019,Ethan,Class 21/ Cycle 4,,Probation: 14,,,,,,
CR-C,72732,Shrapnel,Cadet,Training,Assault,124 DAY(S),217 DAY(S),20210120,20201019,Signed,Class 21/ Cycle 4,,,,,,,,
CR-C,99852,Senez,Cadet,Training,Trooper,124 DAY(S),216 DAY(S),20210120,20201020,Black,Class 21/ Cycle 4,,,,,,,,
CR-C,90909,Gyro,Cadet,Training,Medic,124 DAY(S),216 DAY(S),20210120,20201020,Weaver,Class 21/ Cycle 4,,Previous StarSim-Approved by CX Scuba,,,,,,
CR-C,58170,Tobias,Cadet,Training,Medic,124 DAY(S),216 DAY(S),20210120,20201020,Ethan,Class 21/ Cycle 4,,,,,,,,
"CR Initial Training Class, Date Stamp: (10/13/2020) Class #20 Cycle 4",,,,,,,,,,,,,,,,,,,
CR-C,24351,Campbell,Cadet,Training,Marksman,124 DAY(S),225 DAY(S),20210120,20201011,Singed,Class 20/ Cycle 4,,,,,,,,
"CR Initial Training Class, Date Stamp: (10/06/2020) Class #18 Cycle 4",,,,,,,,,,,,,,,,,,,
CR-C,96533,Checkmate,Cadet,Training,Marksman,124 DAY(S),235 DAY(S),20210120,20201001,Ethan,Class 18/ Cycle 4,,,,,,,,
CR-C,56578,Sivil,Cadet,Training,RTO,124 DAY(S),230 DAY(S),20210120,20201006,Ethan,Class 18/ Cycle 4,,,,,,,,
"CR Initial Training Class, Date Stamp: (10/01/2020) Class #17 Cycle 4",,,,,,,,,,,,,,,,,,,
CR-C,51195,Bojax,Cadet,Training,Trooper,124 DAY(S),244 DAY(S),20210120,44096,Bridger,Class 17/ Cycle 4,,,,,,,,
CR-C,38910,Lego,Cadet,Training,Trooper,124 DAY(S),239 DAY(S),20210120,44101,Ethan,Class 17/ Cycle 4,,,,,,,,
"CR Initial Training Class, Date Stamp: (09/29/2020) Class #16 Cycle 4",,,,,,,,,,,,,,,,,,,
CR-C,78192,Eddward,Cadet,Training,Marksman,124 DAY(S),239 DAY(S),20210120,20200927,Fluorite,Class 16/ Cycle 4,,,,,,,,
CR-C,44894,Sneaker,Cadet,Training,Medic,124 DAY(S),243 DAY(S),20210120,20200923,Bridger,Class 16/ Cycle 4,,,,,,,,
CR-C,51330,Cosmo,Cadet,Training,Marksman,124 DAY(S),239 DAY(S),20210120,20200927,Ethan,Class 16/ Cycle 4,,,,,,,,
"CR Initial Training Class, Date Stamp: (09/24/2020) Class #15 Cycle 4",,,,,,,,,,,,,,,,,,,
CR-C,61453,Mini,Cadet,Training,Support,124 DAY(S),244 DAY(S),20210120,20200922,Weiss,Class 15/ Cycle 4,,,,,,,,
CR-C,13936,Coil,Cadet,Training,Medic,124 DAY(S),242 DAY(S),20210120,20200924,Ethan,Class 15/ Cycle 4,,,,,,,,
"CR Initial Training Class, Date Stamp: (09/22/2020) Class #14 Cycle 4",,,,,,,,,,,,,,,,,,,
CR-C,21080,Citron,Cadet,Training,Medic,124 DAY(S),246 DAY(S),20210120,20200920,Hantar/Habas,Class 14/ Cycle 4,,,,,,,,
CR-C,61496,Fizz,Cadet,Training,Trooper,124 DAY(S),245 DAY(S),20210120,20200921,Virtox,Class 14/ Cycle 4,,,,,,,,
CR-C,50169,Sassy,Cadet,Training,Marksman,124 DAY(S),253 DAY(S),20210120,20200913,Virtox,Class 14/ Cycle 4,,,,,,,,
"CR Initial Training Class, Date Stamp: (09/15/2020) Class #12 Cycle 4",,,,,,,,,,,,,,,,,,,
CR-C,12110,Overhead,Cadet,Training,RTO,124 DAY(S),252 DAY(S),20210120,20200914,"Ethan, Walsh",Class 12/ Cycle 4,,,,,,,,
"CR Initial Training Class, Date Stamp: (09/08/2020) Class #10 Cycle 4",,,,,,,,,,,,,,,,,,,
CR-C,19117,Mobius,Cadet,Training,Medic,124 DAY(S),259 DAY(S),20210120,20200907,Hantar,Class 10/ Cycle 4,,Former member of the 212th(Discharged),,,,,,
"CR Initial Training Class, Date Stamp: (09/03/2020) Class #9 Cycle 4",,,,,,,,,,,,,,,,,,,
CR-C,59963,Marlyse,Cadet,Training,Trooper,124 DAY(S),267 DAY(S),20210120,20200830,Habas,Class 9/ Cycle 4,,,,,,,,
"CR Initial Training Class, Date Stamp: (08/27/2020) Class #7 Cycle 4",,,,,,,,,,,,,,,,,,,
CR-C,13022,Clickerz,Cadet,Training,Marksman,124 DAY(S),280 DAY(S),20210120,20200817,Genesis,Class 7/ Cycle 4,,,,,,,,
"CR Initial Training Class, Date Stamp: (08/23/2020) Class #6 Cycle 4",,,,,,,,,,,,,,,,,,,
CR-C,73001,Mac,Cadet,Training,Trooper,124 DAY(S),275 DAY(S),20210120,20200822,Hantar,Class 6/ Cycle 4,,212th Transfer approved by CW-M Broad,,,,,,
CR-C,73812,Orzac,Cadet,Training,Trooper,124 DAY(S),272 DAY(S),20210120,20200825,Hantar,Class 6/ Cycle 4,,,,,,,,
"CR Initial Training Class, Date Stamp: (08/18/2020) Class #5 Cycle 4",,,,,,,,,,,,,,,,,,,
CR-C,72929,Whiplash,Cadet,Training,Medic,124 DAY(S),280 DAY(S),20210120,44060,Weaver,Class 5/ Cycle 4,,,,,,,,
"CR Initial Training Class, Date Stamp: (08/13/2020) Class #4 Cycle 4",,,,,,,,,,,,,,,,,,,
CR-C,85212,Alloy,Cadet,Training,Marksman,124 DAY(S),290 DAY(S),20210120,20200807,Cyber,Class 4/ Cycle 4,,Returning member approved by CC Player,,,,,,
CR-C,35708,Verda,Cadet,Training,Trooper,124 DAY(S),289 DAY(S),20210120,20200808,Brandon,Class 4/ Cycle 4,,,,,,,,
CR-C,78460,Tarno,Cadet,Training,Medic,124 DAY(S),285 DAY(S),20210120,20200812,Ethan,Class 4/ Cycle 4,,,,,,,,
"CR Initial Training Class, Date Stamp: (08/11/2020) Class #3 Cycle 4",,,,,,,,,,,,,,,,,,,
CR-C,14532,Pizza,Cadet,Training,Medic,124 DAY(S),289 DAY(S),20210120,20200808,Snorri,Class 3/ Cycle 4,,,,,,,,
CR-C,83827,Pickett,Cadet,Training,Support,124 DAY(S),287 DAY(S),20210120,20200810,Hantar,Class 3/ Cycle 4,,,,,,,,
"CR Initial Training Class, Date Stamp: (08/06/2020) Class #2 Cycle 4",,,,,,,,,,,,,,,,,,,
CR-C,77077,Seven,Cadet,Training,Support,124 DAY(S),291 DAY(S),20210120,20200806,Flourite/Snorri,Class 2/ Cycle 4,,,,,,,,
CR-C,44606,Dozer,Cadet,Training,RTO,124 DAY(S),298 DAY(S),20210120,20200730,Snorri,Class 2/ Cycle 4,,,,,,,,
"CR Initial Training Class, Date Stamp: (08/05/2020) Class #1 Cycle 4",,,,,,,,,,,,,,,,,,,
CR-C,17290,Garcia,Cadet,Training,Trooper,124 DAY(S),293 DAY(S),20210120,20200804,Flourite,Class 1/ Cycle 4,,,,,,,,
"CR Initial Training Class, Date Stamp: (07/30/2020) Class #88 Cycle 3",,,,,,,,,,,,,,,,,,,
CR-C,32700,Warning,Cadet,Training,Medic,124 DAY(S),305 DAY(S),20210120,20200723,Weiss/Genesis,Class 88/ Cycle 3,,,,,,,,
"CR Initial Training Class, Date Stamp: (07/28/2020) Class #87 Cycle 3",,,,,,,,,,,,,,,,,,,
CR-C,95832,Evil,Cadet,Training,Grenadier,124 DAY(S),300 DAY(S),20210120,20200728,Aspect,Class 87/ Cycle 3,,,,,,,,
"CR Initial Training Class, Date Stamp: (07/23/2020) Class #86 Cycle 3",,,,,,,,,,,,,,,,,,,
CR-C,76251,Belgian,Cadet,Training,Grenadier,124 DAY(S),315 DAY(S),20210120,20200713,Ethan/Walsh/Snorri,Class 86/ Cycle 3,,Possible Troll,,,,,,
CR-C,46603,Tiger,Cadet,Training,Medic,124 DAY(S),307 DAY(S),20210120,20200721,Flourite,Class 86/ Cycle 3,,,,,,,,
