,Birth #,Nickname,Rank,Unit,Role,TiG,TiS,LastPromotion,Start of Service,Recruiter,Status / Initial,UTC,Notes,,,,,,
CT,14775,Rexi,Vt. Trooper,Inactive Reserves,Trooper,523 DAY(S),1207 DAY(S),  20191218,  20180202,Zflocco,Class 5,Domino7,Moved to Inactive Reserves 05/03/19,,,,,,
CT,1612,Roadman,Vt. Trooper,Inactive Reserves,Trooper,635 DAY(S),1310 DAY(S),  20190828,20171022,Andromeda,-,-,Moved to Inactive Reserves 8/28/19,Name change from Roadboy 20190828,,,,,
CT,2222,Ewik,Vt. Trooper,Inactive Reserves,Trooper,625 DAY(S),1421 DAY(S),  20190907,  20170703,Buchanan/Bobs,-,-,Moved to Reserves 12/28/2019,,,,,,
CT,8241,Tyler,Vt. Trooper,Inactive Reserves,Trooper,404 DAY(S),1383 DAY(S),  20200415,  20170810,Ewik,,,Moved to Reserves 12/11/19 - Filed LOA 02/22/2020 Vt. Trooper- 4/15/2020,,,,,,
CT,68975,Tim,Vt. Trooper,Inactive Reserves,Trooper,642 DAY(S),1358 DAY(S),  20190821,  20170904,Grant,Cycle 1,Echo17,Moved to Inactive Reserves from Placed 05/09/2020,,,,,,
CT,42717,Middle,Vt. Trooper,Inactive Reserves,Trooper,474 DAY(S),1018 DAY(S),20200205,20180810,Poseidon,Class 58,Golf29,Moved to Inactive Reserves from Zeta 08/02/2020 - Inactivity,,,,,,
CT,56219,Cyrus,Vt. Trooper,Inactive Reserves,Trooper,432 DAY(S),859 DAY(S),  20200318,  20190116,Riley,Class 91,Domino49,Moved to Inactive Reserves from Placed 08/01/2020,,,,,,
CT,11080,Pipit,Vt. Trooper,Inactive Reserves,Trooper,670 DAY(S),1085 DAY(S),  20190724,  20180604,Riley,Class 39,Alpha19,Moved to Reserves from Medical Reserves 8/21/2020,,,,,,
CT,10666,Habivi,Vt. Trooper,Inactive Reserves,Trooper,726 DAY(S),1117 DAY(S),  20190529,  20180503,Sazi,-,Alpha17,Moved to Inactive Reserves from Placed 09/05/2020,,,,,,
CT,46698,Oneill,Vt. Trooper,Inactive Reserves,Trooper,311 DAY(S),809 DAY(S),  20200717,  20190307,Brandon,Class 106,Decimate 54,Moved to Inactive Reserves from Placed 09/16/2020,,,,,,
CT,42452,Sledge,Vt. Trooper,Inactive Reserves,Trooper,229 DAY(S),825 DAY(S),20201007,20190219,Denz,Class 100,Phantom 53,Moved from Placed to Inactive 10/8/2020,,,,,,
CT,11077,Weepier,Vt. Trooper,Inactive Reserves,Trooper,285 DAY(S),943 DAY(S),20200812,  20181024,Barbary,Class 79,Hotel37,Moved to Inactive Reserves from Placed 10/10/2020,,,,,,
CT,02947,Jupiter,Vt. Trooper,Inactive Reserves,Trooper,239 DAY(S),1207 DAY(S),  20200927,  20180202,Zflocco,Class 5,Charlie10,Moved to Inactive Reserves from Placed 10/26/2020,,,,,,
CT,2022,Mags,Vt. Trooper,Inactive Reserves,Trooper,1069 DAY(S),1406 DAY(S),  20180620,  20170718,-,-,-,Posted ELOA 20190824 with unknown end date; moved from Zeta to Inactive Reserves 08/24,,,,,,Removed from Medical 10/24/2020 - Inactivity
CT,17676,Toast,Vt. Trooper,Inactive Reserves,Trooper,432 DAY(S),1199 DAY(S),  20200318,  20180210,Audials/Canik,Class 8,Bravo8,Moved Inactives Reserves from Placed 9/3/2020,,,Removed from Medical 10/24/2020 - Inactivity,,,
CT,27754,Fiend,Vt. Trooper,Inactive Reserves,Trooper,474 DAY(S),964 DAY(S),  20200205,  20181003,Barbary,Class 75,Domino35,Moved to Inactive Reserves from Zeta 11/01/2020 - Requested Discharge,,,,,,
CT,4782,Cavalry,Vt. Trooper,Inactive Reserves,Trooper,665 DAY(S),1348 DAY(S),  20190729,  20170914,Corey,-,-,Moved to Inactive Reserves from Zeta 11/11/2020 - Inactivity,,,,,,
